,year,month,season,song_name,artist,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
46,2000,1,Winter,Caught Out There,KELIS,0.848,0.691,G,0.093,0.0511,0.0081,0.0723,0.922,92.996,291707
47,2000,1,Winter,Sexual (Li Da Di),AMBER,0.623,0.898,E,0.0309,0.000192,0.303,0.138,0.786,130.993,226227
48,2000,1,Winter,Higher,CREED,0.459,0.83,D,0.0364,5.15E-05,0.00014,0.206,0.431,155.827,316733
49,2000,1,Winter,The Great Beyond,R.E.M.,0.329,0.747,A#/Bb,0.0297,0.125,2.08E-06,0.197,0.177,109.702,307000
50,2000,1,Winter,None Of Ur Friends Business,GINUWINE,0.83,0.414,A,0.197,0.243,0,0.627,0.556,99.234,365800
51,2000,1,Winter,Don't Say You Love Me,M2M,0.627,0.723,C#/Db,0.0341,0.0141,3.66E-05,0.118,0.596,97.555,225200
52,2000,1,Winter,Smile,LONESTAR,0.467,0.492,G,0.0295,0.234,0,0.113,0.156,74.945,213760
53,2000,1,Winter,No More Rain,ANGIE STONE,0.698,0.662,G,0.0861,0.567,1.44E-06,0.0876,0.815,141.666,283701
54,2000,1,Winter,Deep Inside,MARY J. BLIGE,0.762,0.566,C,0.0385,0.0341,2.73E-06,0.0779,0.666,129.28,326000
55,2000,1,Winter,All Things Considered,YANKEE GREY,0.656,0.746,G#/Ab,0.0325,0.237,0,0.0214,0.96,140.865,159667
56,2000,1,Winter,I Wanna Know,JOE,0.725,0.487,G#/Ab,0.0368,0.26,1.09E-05,0.431,0.599,136.086,296693
57,2000,1,Winter,Falls Apart,SUGAR RAY,0.561,0.897,E,0.0306,0.00318,0.00623,0.248,0.599,103.461,255160
58,2000,1,Winter,Home To You,JOHN MICHAEL MONTGOMERY,0.646,0.366,F,0.0233,0.582,0.000228,0.128,0.272,90.338,209067
59,2000,1,Winter,There She Goes,SIXPENCE NONE THE RICHER,0.498,0.789,A#/Bb,0.0319,0.000856,5.83E-06,0.104,0.455,120.176,164280
60,2000,1,Winter,(You Drive Me) Crazy,BRITNEY SPEARS,0.748,0.939,C,0.0341,0.0534,0,0.32,0.96,104.001,198067
61,2000,1,Winter,One Night Stand,J-SHIN & LaTOCHA SCOTT,0.811,0.56,C#/Db,0.18,0.111,0,0.137,0.537,125.994,274360
62,2000,1,Winter,Chemicals Between Us,BUSH,0.512,0.958,G,0.16,0.00317,0.0403,0.295,0.39,97.715,217493
63,2000,1,Winter,Rockafella Skank,FATBOY SLIM,0.546,0.828,G,0.0359,0.00028,0.569,0.418,0.395,152.495,295102
64,2000,1,Winter,G'd Up,SNOOP DOGG & EASTSIDAZ,0.908,0.763,C#/Db,0.28,0.0395,0,0.0646,0.593,97.106,273467
65,2000,1,Winter,15 Minutes,MARC NELSON,0.354,0.943,D,0.11,0.000437,0.145,0.35,0.281,140.092,195789
66,2000,1,Winter,This Gift,98 DEGREES,0.622,0.541,C,0.0331,0.476,0,0.0819,0.401,86.963,246933
67,2000,1,Winter,We Can't Be Friends,DEBORAH COX with R.L.,0.556,0.436,G,0.0335,0.0409,0,0.119,0.0799,119.91,281200
68,2000,1,Winter,Tha Block Is Hot,LIL WAYNE & JUVENILE,0.708,0.941,G,0.119,0.196,0.00283,0.0402,0.934,174.041,252733
69,2000,1,Winter,Live Laugh Love,CLAY WALKER,0.647,0.746,D,0.0437,0.195,0,0.0271,0.946,98.991,246267
70,2000,1,Winter,Guerrilla Radio,RAGE AGAINST THE MACHINE,0.599,0.957,B,0.188,0.0129,7.06E-05,0.155,0.489,103.68,206200
71,2000,1,Winter,N 2 Gether Now,LIMP BIZKIT & METHOD MAN,0.752,0.753,F#/Gb,0.357,0.114,0,0.317,0.604,102.549,289867
72,2000,1,Winter,She Thinks My Tractor's Sexy,KENNY CHESNEY,0.689,0.886,A#/Bb,0.0382,0.0664,0,0.278,0.906,122.07,248067
73,2000,1,Winter,Bug A Boo,DESTINY'S CHILD,0.76,0.718,F#/Gb,0.147,0.00413,7.63E-06,0.18,0.927,104.42,212440
74,2000,1,Winter,Notorious B.I.G.,NOTORIOUS BIG & PUFF DADDY,0.904,0.826,C#/Db,0.272,0.0531,0,0.214,0.824,101.35,191600
75,2000,1,Winter,Back At One,MARK WILLS,0.627,0.451,B,0.0275,0.174,0,0.0634,0.291,129.872,246493
76,2000,1,Winter,L.A. Song,BETH HART,0.351,0.615,G,0.0451,0.206,0,0.985,0.337,127.798,271107
77,2000,1,Winter,Music Of My Heart,N SYNC & GLORIA ESTEFAN,0.375,0.556,B,0.041,0.4,0,0.0956,0.397,111.827,271160
78,2000,1,Winter,Do It Again,JAY-Z,0.771,0.826,G,0.261,0.166,0,0.358,0.338,98.368,278533
79,2000,1,Winter,Re-Arranged,LIMP BIZKIT,0.527,0.771,B,0.0769,0.1,0.0529,0.0612,0.411,104.386,354733
80,2000,1,Winter,What's My Name,DMX,0.647,0.98,G,0.356,0.0301,8.56E-05,0.045,0.399,188.309,232333
81,2000,1,Winter,The Quittin' Kind,JOE DIFFIE,0.595,0.904,G,0.0355,0.03,4.43E-05,0.397,0.6,102.002,207467
82,2000,2,Winter,I Knew I Loved You,SAVAGE GARDEN,0.61,0.497,A,0.0279,0.32,6.11E-05,0.0884,0.739,85.031,250360
83,2000,2,Winter,What A Girl Wants,CHRISTINA AGUILERA,0.754,0.819,C,0.112,0.0684,0,0.345,0.818,142.137,215800
84,2000,2,Winter,Get It On Tonite,MONTELL JORDAN,0.807,0.498,A#/Bb,0.0756,0.259,3.04E-05,0.0618,0.857,99.001,277413
85,2000,2,Winter,Smooth,SANTANA featuring ROB THOMAS,0.691,0.764,A,0.0386,0.112,0.00419,0.0509,0.833,115.98,240013
86,2000,2,Winter,All The Small Things,BLINK 182,0.434,0.897,C,0.0488,0.0103,0,0.612,0.684,148.726,167067
87,2000,2,Winter,Bring It All To Me,BLAQUE,0.695,0.579,C,0.0325,0.000479,0,0.0556,0.726,88.957,218187
88,2000,2,Winter,Show Me The Meaning Of Being Lonely,BACKSTREET BOYS,0.63,0.625,F#/Gb,0.0252,0.231,0,0.0765,0.683,167.998,234960
89,2000,2,Winter,That's The Way It Is,CELINE DION,0.634,0.886,A,0.0434,0.154,0,0.118,0.577,93.04,241373
90,2000,2,Winter,Back At One,BRIAN McKNIGHT,0.661,0.346,B,0.03,0.452,0,0.131,0.256,129.752,263667
91,2000,2,Winter,Blue (Da Ba Dee),EIFFEL 65,0.822,0.969,G,0.0582,0.259,0.000153,0.39,0.765,128.007,283748
92,2000,2,Winter,Bye Bye Bye,N SYNC,0.61,0.926,G#/Ab,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400
93,2000,2,Winter,Take A Picture,FILTER,0.541,0.776,D,0.0298,0.00147,0.000221,0.178,0.282,98.986,363800
94,2000,2,Winter,Say My Name,DESTINY'S CHILD,0.713,0.678,F,0.102,0.273,0,0.149,0.734,138.009,271333
95,2000,2,Winter,I Need To Know,MARC ANTHONY,0.813,0.949,D#/Eb,0.0336,0.486,9.75E-06,0.112,0.792,115.061,227707
96,2000,2,Winter,Amazed,LONESTAR,0.561,0.543,C#/Db,0.0324,0.26,0,0.124,0.243,139.803,240867
97,2000,2,Winter,It Feels So Good,SONIQUE,0.634,0.677,F,0.0304,0.0117,0.00103,0.126,0.558,135.012,240867
98,2000,2,Winter,Then The Morning Comes,SMASH MOUTH,0.729,0.881,F,0.0283,0.0231,0,0.0872,0.963,118.58,182267
99,2000,2,Winter,Breathe,FAITH HILL,0.529,0.496,G,0.029,0.173,0,0.251,0.278,136.859,250547
100,2000,2,Winter,My Love Is Your Love,WHITNEY HOUSTON,0.77,0.475,G,0.159,0.0561,4.72E-06,0.0607,0.473,82.511,261573
101,2000,2,Winter,Never Let You Go,THIRD EYE BLIND,0.728,0.94,E,0.0368,0.0814,0.000162,0.109,0.967,113.76,237240
102,2000,2,Winter,He Can't Love U,JAGGED EDGE,0.721,0.836,G#/Ab,0.206,0.112,0,0.235,0.508,126.279,244053
103,2000,2,Winter,Untitled (How Does It Feel),D'ANGELO,0.838,0.304,E,0.0626,0.16,0.0267,0.0828,0.221,112.618,430800
104,2000,2,Winter,Thong Song,SISQO,0.706,0.888,D,0.0654,0.119,9.64E-05,0.07,0.714,121.549,253733
105,2000,2,Winter,U Know What's Up,DONELL JONES,0.854,0.543,G#/Ab,0.0844,0.0402,5.73E-05,0.0419,0.868,103.032,243733
106,2000,2,Winter,I Wanna Know,JOE,0.725,0.487,G#/Ab,0.0368,0.26,1.09E-05,0.431,0.599,136.086,296693
107,2000,2,Winter,Falls Apart,SUGAR RAY,0.561,0.897,E,0.0306,0.00318,0.00623,0.248,0.599,103.461,255160
108,2000,2,Winter,Meet Virginia,TRAIN,0.675,0.553,G,0.0486,0.0863,7.58E-06,0.118,0.594,90.02,239933
109,2000,2,Winter,Cowboy Take Me Away,DIXIE CHICKS,0.467,0.622,F#/Gb,0.031,0.365,0.00527,0.0982,0.455,164.418,287267
110,2000,2,Winter,My Best Friend,TIM McGRAW,0.444,0.484,A,0.0289,0.12,0,0.135,0.263,147.715,279867
111,2000,2,Winter,Shake Your Bon-Bon,RICKY MARTIN,0.638,0.937,C,0.0444,0.0942,0,0.327,0.762,100.03,192333
112,2000,2,Winter,Learn To Fly,FOO FIGHTERS,0.465,0.919,E,0.0408,1.83E-05,2.07E-05,0.262,0.537,135.997,235293
113,2000,2,Winter,Back At One,MARK WILLS,0.627,0.451,B,0.0275,0.174,0,0.0634,0.291,129.872,246493
114,2000,2,Winter,One Night Stand,J-SHIN featuring LaTOCHA SCOTT,0.897,0.668,C#/Db,0.327,0.00709,0,0.0751,0.685,103.952,202493
115,2000,2,Winter,Smile,LONESTAR,0.467,0.492,G,0.0295,0.234,0,0.113,0.156,74.945,213760
116,2000,2,Winter,Everything You Want,VERTICAL HORIZON,0.636,0.761,D#/Eb,0.0306,0.0517,0,0.0642,0.736,93.896,257067
117,2000,2,Winter,I Don't Wanna,AALIYAH,0.702,0.573,A,0.0344,0.526,0,0.23,0.693,129.999,255093
118,2000,2,Winter,I Wanna Love You Forever,JESSICA SIMPSON,0.59,0.666,E,0.0244,0.156,0,0.136,0.0743,104.042,263800
119,2000,2,Winter,American Pie,MADONNA,0.631,0.734,F,0.036,0.348,0,0.135,0.591,124.036,273533
120,2000,2,Winter,I Like It,SAMMIE,0.826,0.656,A,0.0617,0.0101,0.000113,0.0272,0.852,129.963,251040
121,2000,2,Winter,The Best Day,GEORGE STRAIT,0.647,0.49,A,0.0288,0.676,0,0.231,0.298,132.336,204067
122,2000,2,Winter,Sexual (Li Da Di),AMBER,0.623,0.898,E,0.0309,0.000192,0.303,0.138,0.786,130.993,226227
123,2000,2,Winter,G'd Up,SNOOP DOGG presents THA EASTSIDAZ,0.908,0.763,C#/Db,0.28,0.0395,0,0.0646,0.593,97.106,273467
124,2000,2,Winter,Black Balloon,GOO GOO DOLLS,0.339,0.625,C#/Db,0.028,0.057,0.000102,0.229,0.334,104.68,249533
125,2000,2,Winter,What Do You Say,REBA,0.461,0.413,G#/Ab,0.0432,0.141,0,0.1,0.368,171.186,209933
126,2000,2,Winter,Rhythm Divine,ENRIQUE IGLESIAS,0.622,0.97,A,0.156,0.13,0,0.188,0.429,102.025,209467
127,2000,2,Winter,From The Bottom Of My Broken Heart,BRITNEY SPEARS,0.677,0.665,G,0.0305,0.56,1.01E-06,0.338,0.706,74.981,312533
128,2000,2,Winter,How Do You Like Me Now,TOBY KEITH,0.648,0.667,C,0.0311,0.0534,6.94E-06,0.0908,0.669,109.609,209067
129,2000,2,Winter,Dear Lie,TLC,0.548,0.444,C,0.0293,0.0376,0,0.179,0.243,173.834,310760
130,2000,2,Winter,Big Deal,LeANN RIMES,0.498,0.806,D,0.0394,0.00472,0,0.127,0.677,151.781,188267
131,2000,2,Winter,24/7,KEVON EDMONDS,0.696,0.627,E,0.0334,0.0685,0,0.0993,0.322,116.047,274267
132,2000,2,Winter,Best Friend,PUFF DADDY,0.627,0.729,E,0.202,0.473,0,0.0634,0.494,85.008,334646
133,2000,2,Winter,The Great Beyond,R.E.M.,0.329,0.747,A#/Bb,0.0297,0.125,2.08E-06,0.197,0.177,109.702,307000
134,2000,2,Winter,Lesson Learned,TRACY LAWRENCE,0.682,0.719,F,0.0259,0.281,1.79E-06,0.308,0.755,124.633,177893
135,2000,2,Winter,He Didn't Have To Be,BRAD PAISLEY,0.476,0.443,A,0.0282,0.105,7.97E-06,0.123,0.165,72.888,282227
136,2000,2,Winter,Only God Knows Why,KID ROCK,0.628,0.749,E,0.03,0.0569,0.00204,0.134,0.31,129.2,327667
137,2000,2,Winter,None Of Ur Friends Business,GINUWINE,0.83,0.414,A,0.197,0.243,0,0.627,0.556,99.234,365800
138,2000,2,Winter,Love's The Only House,MARTINA McBRIDE,0.708,0.572,A,0.0265,0.016,0,0.104,0.572,122.843,313867
139,2000,2,Winter,Waiting For Tonight,JENNIFER LOPEZ,0.695,0.945,A#/Bb,0.0418,0.00341,0.0727,0.103,0.84,125.013,246427
140,2000,2,Winter,No More Rain,ANGIE STONE,0.698,0.662,G,0.0861,0.567,1.44E-06,0.0876,0.815,141.666,283701
141,2000,2,Winter,I Try,MACY GRAY,0.593,0.642,D,0.0299,0.313,0.000582,0.0804,0.736,76.403,239440
142,2000,2,Winter,Another Dumb Blonde,HOKU,0.688,0.94,C#/Db,0.0843,0.24,0,0.08,0.551,123.906,232067
143,2000,2,Winter,This Woman Needs,SHEDAISY,0.213,0.489,G,0.0334,0.112,0,0.133,0.139,196.347,200400
144,2000,2,Winter,Because You Love Me,JO DEE MESSINA,0.418,0.351,A,0.0293,0.569,0,0.103,0.139,145.379,231280
145,2000,2,Winter,Otherside,RED HOT CHILI PEPPERS,0.458,0.795,C,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373
146,2000,2,Winter,What's My Name,DMX,0.647,0.98,G,0.356,0.0301,8.56E-05,0.045,0.399,188.309,232333
147,2000,2,Winter,If You Love Me,MINT CONDITION,0.442,0.585,F#/Gb,0.0305,0.606,5.85E-05,0.185,0.233,118.736,385720
148,2000,2,Winter,Dancin',GUY,0.798,0.703,A#/Bb,0.135,0.117,0,0.121,0.792,101.015,248627
149,2000,2,Winter,Put Your Hand In Mine,TRACY BYRD,0.495,0.488,D#/Eb,0.0309,0.125,0,0.189,0.237,72.064,271773
150,2000,2,Winter,I Need A Hot Girl,HOT BOYS,0.815,0.797,D,0.186,0.0557,0,0.641,0.65,96.006,292840
151,2000,2,Winter,Stay The Night,IMX,0.585,0.709,B,0.0611,0.0111,0,0.202,0.726,183.22,219467
152,2000,2,Winter,Feelin' So Good,JENNIFER LOPEZ,0.738,0.84,A#/Bb,0.0606,0.00437,0.00629,0.0807,0.862,107.755,326000
153,2000,2,Winter,When I Said I Do,CLINT BLACK,0.507,0.411,A#/Bb,0.0276,0.308,0,0.106,0.184,102.806,268960
154,2000,2,Winter,No Leaf Clover,METALLICA,0.246,0.952,D#/Eb,0.114,0.000558,0.00193,0.959,0.387,151.374,343200
155,2000,2,Winter,Girl On TV,LFO,0.688,0.716,E,0.0297,0.131,0,0.134,0.352,96.043,247600
156,2000,2,Winter,I Learned From The Best,WHITNEY HOUSTON,0.609,0.563,F,0.0328,0.0109,7.76E-06,0.156,0.306,148.949,259533
157,2000,2,Winter,Do It Again,JAY-Z,0.771,0.826,G,0.261,0.166,0,0.358,0.338,98.368,278533
158,2000,2,Winter,Do What You Gotta Do,GARTH BROOKS,0.601,0.485,D,0.0337,0.298,0.000217,0.297,0.437,132.892,185160
159,2000,2,Winter,Been There,CLINT BLACK & STEVE WARINER,0.637,0.867,D,0.0298,0.00575,0.00798,0.0542,0.731,92.826,335200
160,2000,2,Winter,Angels,ROBBIE WILLIAMS,0.437,0.586,E,0.0274,0.151,3.13E-06,0.0996,0.252,150.14,265733
161,2000,2,Winter,Caught Out There,KELIS,0.848,0.691,G,0.093,0.0511,0.0081,0.0723,0.922,92.996,291707
162,2000,2,Winter,Candy,MANDY MOORE,0.813,0.836,G,0.0881,0.178,6.63E-05,0.154,0.677,100.491,234133
163,2000,2,Winter,Smoke Rings In The Dark,GARY ALLEN,0.63,0.524,D,0.028,0.328,0.792,0.314,0.24,114.811,252773
164,2000,2,Winter,Re-Arranged,LIMP BIZKIT,0.527,0.771,B,0.0769,0.1,0.0529,0.0612,0.411,104.386,354733
165,2000,2,Winter,Deep Inside,MARY J. BLIGE,0.762,0.566,C,0.0385,0.0341,2.73E-06,0.0779,0.666,129.28,326000
166,2000,2,Winter,Pop A Top,ALAN JACKSON,0.699,0.477,D,0.031,0.291,0,0.164,0.83,118.382,185427
167,2000,2,Winter,Breathe & Stop,Q-TIP,0.741,0.725,B,0.04,0.00715,0,0.115,0.577,104.985,288387
168,2000,2,Winter,Guerrilla Radio,RAGE AGAINST THE MACHINE,0.599,0.957,B,0.188,0.0129,7.06E-05,0.155,0.489,103.68,206200
169,2000,2,Winter,Left Right Left,DRAMA,0.908,0.517,E,0.165,0.00834,0,0.142,0.539,125.055,217427
170,2000,2,Winter,Freakin' It,WILL SMITH,0.873,0.833,C#/Db,0.189,0.198,0,0.237,0.926,112.001,239293
171,2000,2,Winter,U Understand,JUVENILE,0.901,0.829,F,0.146,0.0585,0,0.0498,0.674,99.766,259293
172,2000,3,Spring,Say My Name,DESTINY'S CHILD,0.713,0.678,F,0.102,0.273,0,0.149,0.734,138.009,271333
173,2000,3,Spring,Amazed,LONESTAR,0.561,0.543,C#/Db,0.0324,0.26,0,0.124,0.243,139.803,240867
174,2000,3,Spring,Breathe,FAITH HILL,0.529,0.496,G,0.029,0.173,0,0.251,0.278,136.859,250547
175,2000,3,Spring,Bye Bye Bye,N SYNC,0.61,0.926,G#/Ab,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400
176,2000,3,Spring,Show Me The Meaning Of Being Lonely,BACKSTREET BOYS,0.63,0.625,F#/Gb,0.0252,0.231,0,0.0765,0.683,167.998,234960
177,2000,3,Spring,That's The Way It Is,CELINE DION,0.634,0.886,A,0.0434,0.154,0,0.118,0.577,93.04,241373
178,2000,3,Spring,I Knew I Loved You,SAVAGE GARDEN,0.61,0.497,A,0.0279,0.32,6.11E-05,0.0884,0.739,85.031,250360
179,2000,3,Spring,Get It On Tonite,MONTELL JORDAN,0.807,0.498,A#/Bb,0.0756,0.259,3.04E-05,0.0618,0.857,99.001,277413
180,2000,3,Spring,Smooth,SANTANA featuring ROB THOMAS,0.691,0.764,A,0.0386,0.112,0.00419,0.0509,0.833,115.98,240013
181,2000,3,Spring,All The Small Things,BLINK 182,0.434,0.897,C,0.0488,0.0103,0,0.612,0.684,148.726,167067
182,2000,3,Spring,There You Go,PINK,0.822,0.847,A#/Bb,0.0917,0.0854,0,0.0452,0.668,107.908,202800
183,2000,3,Spring,What A Girl Wants,CHRISTINA AGUILERA,0.754,0.819,C,0.112,0.0684,0,0.345,0.818,142.137,215800
184,2000,3,Spring,It Feels So Good,SONIQUE,0.634,0.677,F,0.0304,0.0117,0.00103,0.126,0.558,135.012,240867
185,2000,3,Spring,Thong Song,SISQO,0.706,0.888,D,0.0654,0.119,9.64E-05,0.07,0.714,121.549,253733
186,2000,3,Spring,Bring It All To Me,BLAQUE,0.695,0.579,C,0.0325,0.000479,0,0.0556,0.726,88.957,218187
187,2000,3,Spring,Back At One,BRIAN McKNIGHT,0.661,0.346,B,0.03,0.452,0,0.131,0.256,129.752,263667
188,2000,3,Spring,Never Let You Go,THIRD EYE BLIND,0.728,0.94,E,0.0368,0.0814,0.000162,0.109,0.967,113.76,237240
189,2000,3,Spring,I Need To Know,MARC ANTHONY,0.813,0.949,D#/Eb,0.0336,0.486,9.75E-06,0.112,0.792,115.061,227707
190,2000,3,Spring,Everything You Want,VERTICAL HORIZON,0.636,0.761,D#/Eb,0.0306,0.0517,0,0.0642,0.736,93.896,257067
191,2000,3,Spring,Take A Picture,FILTER,0.541,0.776,D,0.0298,0.00147,0.000221,0.178,0.282,98.986,363800
192,2000,3,Spring,From The Bottom Of My Broken Heart,BRITNEY SPEARS,0.677,0.665,G,0.0305,0.56,1.01E-06,0.338,0.706,74.981,312533
193,2000,3,Spring,I Wanna Know,JOE,0.725,0.487,G#/Ab,0.0368,0.26,1.09E-05,0.431,0.599,136.086,296693
194,2000,3,Spring,Then The Morning Comes,SMASH MOUTH,0.729,0.881,F,0.0283,0.0231,0,0.0872,0.963,118.58,182267
195,2000,3,Spring,I Learned From The Best,WHITNEY HOUSTON,0.609,0.563,F,0.0328,0.0109,7.76E-06,0.156,0.306,148.949,259533
196,2000,3,Spring,I Like It,SAMMIE,0.826,0.656,A,0.0617,0.0101,0.000113,0.0272,0.852,129.963,251040
197,2000,3,Spring,I Try,MACY GRAY,0.593,0.642,D,0.0299,0.313,0.000582,0.0804,0.736,76.403,239440
198,2000,3,Spring,Untitled (How Does It Feel),D'ANGELO,0.838,0.304,E,0.0626,0.16,0.0267,0.0828,0.221,112.618,430800
199,2000,3,Spring,Blue (Da Ba Dee),EIFFEL 65,0.822,0.969,G,0.0582,0.259,0.000153,0.39,0.765,128.007,283748
200,2000,3,Spring,American Pie,MADONNA,0.631,0.734,F,0.036,0.348,0,0.135,0.591,124.036,273533
201,2000,3,Spring,Another Dumb Blonde,HOKU,0.688,0.94,C#/Db,0.0843,0.24,0,0.08,0.551,123.906,232067
